,method,index,value
0,retrain,220,0.62
1,MUter,220,0.63
2,Newton_delta,220,0.572
3,Influence_delta,220,0.578
4,Fisher_delta,220,0.571
5,Newton,220,0.59
6,Influence,220,0.602
7,Fisher,220,0.588
8,retrain,440,0.626
9,MUter,440,0.624
10,Newton_delta,440,0.509
11,Influence_delta,440,0.534
12,Fisher_delta,440,0.496
13,Newton,440,0.524
14,Influence,440,0.54
15,Fisher,440,0.474
16,retrain,660,0.609
17,MUter,660,0.624
18,Newton_delta,660,0.44
19,Influence_delta,660,0.452
20,Fisher_delta,660,0.418
21,Newton,660,0.448
22,Influence,660,0.47
23,Fisher,660,0.39
24,retrain,880,0.63
25,MUter,880,0.627
26,Newton_delta,880,0.348
27,Influence_delta,880,0.372
28,Fisher_delta,880,0.218
29,Newton,880,0.374
30,Influence,880,0.395
31,Fisher,880,0.22
32,retrain,220,0.624
33,MUter,220,0.646
34,Newton_delta,220,0.563
35,Influence_delta,220,0.574
36,Fisher_delta,220,0.57
37,Newton,220,0.59
38,Influence,220,0.597
39,Fisher,220,0.57
40,retrain,440,0.622
41,MUter,440,0.633
42,Newton_delta,440,0.51
43,Influence_delta,440,0.519
44,Fisher_delta,440,0.51
45,Newton,440,0.522
46,Influence,440,0.548
47,Fisher,440,0.516
48,retrain,660,0.617
49,MUter,660,0.609
50,Newton_delta,660,0.418
51,Influence_delta,660,0.436
52,Fisher_delta,660,0.378
53,Newton,660,0.443
54,Influence,660,0.461
55,Fisher,660,0.313
56,retrain,880,0.634
57,MUter,880,0.63
58,Newton_delta,880,0.351
59,Influence_delta,880,0.374
60,Fisher_delta,880,0.263
61,Newton,880,0.37
62,Influence,880,0.405
63,Fisher,880,0.166
64,retrain,220,0.636
65,MUter,220,0.648
66,Newton_delta,220,0.582
67,Influence_delta,220,0.6
68,Fisher_delta,220,0.593
69,Newton,220,0.596
70,Influence,220,0.604
71,Fisher,220,0.581
72,retrain,440,0.629
73,MUter,440,0.629
74,Newton_delta,440,0.505
75,Influence_delta,440,0.52
76,Fisher_delta,440,0.51
77,Newton,440,0.532
78,Influence,440,0.545
79,Fisher,440,0.512
80,retrain,660,0.606
81,MUter,660,0.616
82,Newton_delta,660,0.412
83,Influence_delta,660,0.429
84,Fisher_delta,660,0.382
85,Newton,660,0.451
86,Influence,660,0.463
87,Fisher,660,0.3
88,retrain,880,0.641
89,MUter,880,0.638
90,Newton_delta,880,0.318
91,Influence_delta,880,0.346
92,Fisher_delta,880,0.196
93,Newton,880,0.362
94,Influence,880,0.391
95,Fisher,880,0.167
