,method,index,value
0,retrain,220,0.833
1,MUter,220,0.836
2,Newton_delta,220,0.807
3,Influence_delta,220,0.815
4,Fisher_delta,220,0.815
5,Newton,220,0.797
6,Influence,220,0.809
7,Fisher,220,0.808
8,retrain,440,0.837
9,MUter,440,0.82
10,Newton_delta,440,0.757
11,Influence_delta,440,0.765
12,Fisher_delta,440,0.766
13,Newton,440,0.738
14,Influence,440,0.746
15,Fisher,440,0.77
16,retrain,660,0.814
17,MUter,660,0.808
18,Newton_delta,660,0.646
19,Influence_delta,660,0.666
20,Fisher_delta,660,0.67
21,Newton,660,0.64
22,Influence,660,0.66
23,Fisher,660,0.675
24,retrain,880,0.817
25,MUter,880,0.81
26,Newton_delta,880,0.555
27,Influence_delta,880,0.587
28,Fisher_delta,880,0.433
29,Newton,880,0.567
30,Influence,880,0.595
31,Fisher,880,0.503
32,retrain,220,0.835
33,MUter,220,0.842
34,Newton_delta,220,0.781
35,Influence_delta,220,0.791
36,Fisher_delta,220,0.804
37,Newton,220,0.785
38,Influence,220,0.793
39,Fisher,220,0.794
40,retrain,440,0.825
41,MUter,440,0.824
42,Newton_delta,440,0.716
43,Influence_delta,440,0.73
44,Fisher_delta,440,0.762
45,Newton,440,0.716
46,Influence,440,0.732
47,Fisher,440,0.749
48,retrain,660,0.826
49,MUter,660,0.797
50,Newton_delta,660,0.636
51,Influence_delta,660,0.645
52,Fisher_delta,660,0.65
53,Newton,660,0.631
54,Influence,660,0.639
55,Fisher,660,0.573
56,retrain,880,0.812
57,MUter,880,0.805
58,Newton_delta,880,0.581
59,Influence_delta,880,0.604
60,Fisher_delta,880,0.511
61,Newton,880,0.589
62,Influence,880,0.602
63,Fisher,880,0.435
64,retrain,220,0.828
65,MUter,220,0.836
66,Newton_delta,220,0.803
67,Influence_delta,220,0.804
68,Fisher_delta,220,0.805
69,Newton,220,0.801
70,Influence,220,0.806
71,Fisher,220,0.813
72,retrain,440,0.822
73,MUter,440,0.837
74,Newton_delta,440,0.738
75,Influence_delta,440,0.75
76,Fisher_delta,440,0.762
77,Newton,440,0.729
78,Influence,440,0.739
79,Fisher,440,0.763
80,retrain,660,0.803
81,MUter,660,0.803
82,Newton_delta,660,0.63
83,Influence_delta,660,0.646
84,Fisher_delta,660,0.645
85,Newton,660,0.636
86,Influence,660,0.653
87,Fisher,660,0.574
88,retrain,880,0.817
89,MUter,880,0.811
90,Newton_delta,880,0.557
91,Influence_delta,880,0.577
92,Fisher_delta,880,0.459
93,Newton,880,0.589
94,Influence,880,0.598
95,Fisher,880,0.405
