,method,index,value
0,MUter,1,0.0016385649
1,Newton_delta,1,0.063173465
2,Influence_delta,1,0.059292812
3,Fisher_delta,1,0.062216196
4,Newton,1,0.041414168
5,Influence,1,0.0388778
6,Fisher,1,0.05675567
7,MUter,20,0.0067378934
8,Newton_delta,20,0.18038367
9,Influence_delta,20,0.17115508
10,Fisher_delta,20,0.17402375
11,Newton,20,0.12210215
12,Influence,20,0.11598
13,Fisher,20,0.15742518
14,MUter,50,0.012744968
15,Newton_delta,50,0.31492338
16,Influence_delta,50,0.30176717
17,Fisher_delta,50,0.39557618
18,Newton,50,0.21640024
19,Influence,50,0.20637023
20,Fisher,50,0.2668712
21,MUter,100,0.016919572
22,Newton_delta,100,0.47521532
23,Influence_delta,100,0.45756167
24,Fisher_delta,100,0.53526634
25,Newton,100,0.2965939
26,Influence,100,0.28296846
27,Fisher,100,0.4419685
28,MUter,200,0.065743454
29,Newton_delta,200,0.76094776
30,Influence_delta,200,0.7098078
31,Fisher_delta,200,0.71089745
32,Newton,200,0.44914427
33,Influence,200,0.4241599
34,Fisher,200,0.60393816
35,MUter,400,0.04866072
36,Newton_delta,400,1.1583121
37,Influence_delta,400,1.0620723
38,Fisher_delta,400,1.2037122
39,Newton,400,0.80552876
40,Influence,400,0.7117945
41,Fisher,400,1.0512506
42,MUter,1,0.0010033327
43,Newton_delta,1,0.042116053
44,Influence_delta,1,0.03924773
45,Fisher_delta,1,0.037913933
46,Newton,1,0.026582053
47,Influence,1,0.024553228
48,Fisher,1,0.025982268
49,MUter,20,0.006676659
50,Newton_delta,20,0.22157358
51,Influence_delta,20,0.20670436
52,Fisher_delta,20,0.2467528
53,Newton,20,0.15210962
54,Influence,20,0.14211863
55,Fisher,20,0.21372665
56,MUter,50,0.011197224
57,Newton_delta,50,0.36930552
58,Influence_delta,50,0.35263374
59,Fisher_delta,50,0.38304165
60,Newton,50,0.24321268
61,Influence,50,0.23132731
62,Fisher,50,0.321802
63,MUter,100,0.013034031
64,Newton_delta,100,0.56682855
65,Influence_delta,100,0.5446927
66,Fisher_delta,100,0.6184038
67,Newton,100,0.3971947
68,Influence,100,0.37981272
69,Fisher,100,0.48956475
70,MUter,200,0.019093908
71,Newton_delta,200,0.8403888
72,Influence_delta,200,0.7846343
73,Fisher_delta,200,0.77371687
74,Newton,200,0.5762437
75,Influence,200,0.54083836
76,Fisher,200,0.75213826
77,MUter,400,0.34773192
78,Newton_delta,400,1.2600778
79,Influence_delta,400,1.1511824
80,Fisher_delta,400,1.363941
81,Newton,400,0.8500815
82,Influence,400,0.76667416
83,Fisher,400,1.072796
84,MUter,1,0.0021337543
85,Newton_delta,1,0.066202894
86,Influence_delta,1,0.06171676
87,Fisher_delta,1,0.05161253
88,Newton,1,0.04591751
89,Influence,1,0.043030694
90,Fisher,1,0.050022736
91,MUter,20,0.0046898527
92,Newton_delta,20,0.24013142
93,Influence_delta,20,0.22509523
94,Fisher_delta,20,0.24071407
95,Newton,20,0.16991489
96,Influence,20,0.15792187
97,Fisher,20,0.2238464
98,MUter,50,0.0066290624
99,Newton_delta,50,0.41148916
100,Influence_delta,50,0.3942529
101,Fisher_delta,50,0.4292112
102,Newton,50,0.25886902
103,Influence,50,0.24822259
104,Fisher,50,0.3459202
105,MUter,100,0.02516791
106,Newton_delta,100,0.5126484
107,Influence_delta,100,0.48600528
108,Fisher_delta,100,0.5346812
109,Newton,100,0.33393288
110,Influence,100,0.31440046
111,Fisher,100,0.44021022
112,MUter,200,0.022148192
113,Newton_delta,200,0.7486838
114,Influence_delta,200,0.73601556
115,Fisher_delta,200,0.7507491
116,Newton,200,0.4992497
117,Influence,200,0.46737722
118,Fisher,200,0.696307
119,MUter,400,0.023979973
120,Newton_delta,400,1.1672192
121,Influence_delta,400,1.0955504
122,Fisher_delta,400,1.1296055
123,Newton,400,0.8163039
124,Influence,400,0.7219209
125,Fisher,400,1.0784916
