,method,index,value
0,retrain,220,0.523
1,MUter,220,0.499
2,Newton_delta,220,0.479
3,Influence_delta,220,0.484
4,Fisher_delta,220,0.479
5,Newton,220,0.506
6,Influence,220,0.509
7,Fisher,220,0.478
8,retrain,440,0.521
9,MUter,440,0.531
10,Newton_delta,440,0.389
11,Influence_delta,440,0.407
12,Fisher_delta,440,0.37
13,Newton,440,0.401
14,Influence,440,0.43
15,Fisher,440,0.368
16,retrain,660,0.521
17,MUter,660,0.517
18,Newton_delta,660,0.344
19,Influence_delta,660,0.352
20,Fisher_delta,660,0.306
21,Newton,660,0.36
22,Influence,660,0.369
23,Fisher,660,0.267
24,retrain,880,0.519
25,MUter,880,0.523
26,Newton_delta,880,0.235
27,Influence_delta,880,0.257
28,Fisher_delta,880,0.148
29,Newton,880,0.258
30,Influence,880,0.284
31,Fisher,880,0.109
32,retrain,220,0.523
33,MUter,220,0.517
34,Newton_delta,220,0.449
35,Influence_delta,220,0.467
36,Fisher_delta,220,0.447
37,Newton,220,0.472
38,Influence,220,0.486
39,Fisher,220,0.464
40,retrain,440,0.518
41,MUter,440,0.527
42,Newton_delta,440,0.362
43,Influence_delta,440,0.391
44,Fisher_delta,440,0.371
45,Newton,440,0.381
46,Influence,440,0.399
47,Fisher,440,0.377
48,retrain,660,0.5
49,MUter,660,0.501
50,Newton_delta,660,0.294
51,Influence_delta,660,0.31
52,Fisher_delta,660,0.265
53,Newton,660,0.311
54,Influence,660,0.33
55,Fisher,660,0.253
56,retrain,880,0.528
57,MUter,880,0.523
58,Newton_delta,880,0.242
59,Influence_delta,880,0.261
60,Fisher_delta,880,0.181
61,Newton,880,0.273
62,Influence,880,0.295
63,Fisher,880,0.092
64,retrain,220,0.524
65,MUter,220,0.509
66,Newton_delta,220,0.445
67,Influence_delta,220,0.448
68,Fisher_delta,220,0.455
69,Newton,220,0.479
70,Influence,220,0.487
71,Fisher,220,0.458
72,retrain,440,0.512
73,MUter,440,0.524
74,Newton_delta,440,0.38
75,Influence_delta,440,0.391
76,Fisher_delta,440,0.374
77,Newton,440,0.411
78,Influence,440,0.423
79,Fisher,440,0.383
80,retrain,660,0.504
81,MUter,660,0.506
82,Newton_delta,660,0.285
83,Influence_delta,660,0.306
84,Fisher_delta,660,0.238
85,Newton,660,0.337
86,Influence,660,0.357
87,Fisher,660,0.219
88,retrain,880,0.507
89,MUter,880,0.512
90,Newton_delta,880,0.216
91,Influence_delta,880,0.238
92,Fisher_delta,880,0.101
93,Newton,880,0.261
94,Influence,880,0.285
95,Fisher,880,0.112
