,method,index,value
0,MUter,1,0.0010715075
1,Newton_delta,1,0.051668916
2,Influence_delta,1,0.04845187
3,Fisher_delta,1,0.06159187
4,Newton,1,0.04279228
5,Influence,1,0.03957459
6,Fisher,1,0.06099609
7,MUter,20,0.0058714757
8,Newton_delta,20,0.15424113
9,Influence_delta,20,0.1463221
10,Fisher_delta,20,0.18320851
11,Newton,20,0.11307509
12,Influence,20,0.10726339
13,Fisher,20,0.15487711
14,MUter,50,0.012270535
15,Newton_delta,50,0.27041003
16,Influence_delta,50,0.25819048
17,Fisher_delta,50,0.37980402
18,Newton,50,0.20802613
19,Influence,50,0.19757119
20,Fisher,50,0.2738755
21,MUter,100,0.019586828
22,Newton_delta,100,0.37068707
23,Influence_delta,100,0.35477945
24,Fisher_delta,100,0.505895
25,Newton,100,0.29271302
26,Influence,100,0.27810413
27,Fisher,100,0.41601917
28,MUter,200,0.10564639
29,Newton_delta,200,0.6148239
30,Influence_delta,200,0.5894723
31,Fisher_delta,200,0.702225
32,Newton,200,0.4656518
33,Influence,200,0.43865854
34,Fisher,200,0.82210016
35,MUter,400,0.058881536
36,Newton_delta,400,1.0055091
37,Influence_delta,400,0.9295461
38,Fisher_delta,400,1.1531616
39,Newton,400,0.71273184
40,Influence,400,0.6394085
41,Fisher,400,1.3065295
42,MUter,1,0.0017368207
43,Newton_delta,1,0.035275083
44,Influence_delta,1,0.033084236
45,Fisher_delta,1,0.03885303
46,Newton,1,0.024900509
47,Influence,1,0.02339218
48,Fisher,1,0.030368041
49,MUter,20,0.006885943
50,Newton_delta,20,0.18763767
51,Influence_delta,20,0.1758091
52,Fisher_delta,20,0.21665621
53,Newton,20,0.16329141
54,Influence,20,0.1409218
55,Fisher,20,0.19318514
56,MUter,50,0.01261258
57,Newton_delta,50,0.3108909
58,Influence_delta,50,0.29647592
59,Fisher_delta,50,0.36875588
60,Newton,50,0.2385874
61,Influence,50,0.22594379
62,Fisher,50,0.3323073
63,MUter,100,0.013775486
64,Newton_delta,100,0.47825125
65,Influence_delta,100,0.45662805
66,Fisher_delta,100,0.56511307
67,Newton,100,0.38892984
68,Influence,100,0.36956733
69,Fisher,100,0.48540884
70,MUter,200,0.021419916
71,Newton_delta,200,0.71589714
72,Influence_delta,200,0.6707831
73,Fisher_delta,200,0.7882407
74,Newton,200,0.56094056
75,Influence,200,0.52507514
76,Fisher,200,0.8071391
77,MUter,400,0.06148373
78,Newton_delta,400,1.0114175
79,Influence_delta,400,0.9214839
80,Fisher_delta,400,1.3921041
81,Newton,400,0.7789665
82,Influence,400,0.70203924
83,Fisher,400,1.283896
84,MUter,1,0.002345233
85,Newton_delta,1,0.050800238
86,Influence_delta,1,0.047350664
87,Fisher_delta,1,0.053356014
88,Newton,1,0.04170442
89,Influence,1,0.039251596
90,Fisher,1,0.05542626
91,MUter,20,0.004090181
92,Newton_delta,20,0.19995189
93,Influence_delta,20,0.18747433
94,Fisher_delta,20,0.2467397
95,Newton,20,0.16744688
96,Influence,20,0.15487538
97,Fisher,20,0.22266057
98,MUter,50,0.0064752707
99,Newton_delta,50,0.39686
100,Influence_delta,50,0.37687117
101,Fisher_delta,50,0.42787743
102,Newton,50,0.25781518
103,Influence,50,0.24689001
104,Fisher,50,0.36856368
105,MUter,100,0.016933106
106,Newton_delta,100,0.4145279
107,Influence_delta,100,0.39499754
108,Fisher_delta,100,0.5320277
109,Newton,100,0.32117504
110,Influence,100,0.30469763
111,Fisher,100,0.43502468
112,MUter,200,0.021570707
113,Newton_delta,200,0.60447395
114,Influence_delta,200,0.5661905
115,Fisher_delta,200,0.8019412
116,Newton,200,0.47418982
117,Influence,200,0.44077775
118,Fisher,200,0.69398016
119,MUter,400,0.029833093
120,Newton_delta,400,0.9586235
121,Influence_delta,400,0.8682825
122,Fisher_delta,400,1.137902
123,Newton,400,0.76905894
124,Influence,400,0.6797218
125,Fisher,400,1.1145141
