,method,index,value
0,retrain,1,0.808
1,MUter,1,0.805
2,Newton_delta,1,0.806
3,Influence_delta,1,0.806
4,Fisher_delta,1,0.806
5,Newton,1,0.807
6,Influence,1,0.806
7,Fisher,1,0.808
8,retrain,20,0.8
9,MUter,20,0.803
10,Newton_delta,20,0.799
11,Influence_delta,20,0.797
12,Fisher_delta,20,0.797
13,Newton,20,0.799
14,Influence,20,0.799
15,Fisher,20,0.801
16,retrain,50,0.822
17,MUter,50,0.823
18,Newton_delta,50,0.812
19,Influence_delta,50,0.815
20,Fisher_delta,50,0.809
21,Newton,50,0.808
22,Influence,50,0.808
23,Fisher,50,0.814
24,retrain,100,0.829
25,MUter,100,0.828
26,Newton_delta,100,0.804
27,Influence_delta,100,0.804
28,Fisher_delta,100,0.81
29,Newton,100,0.808
30,Influence,100,0.811
31,Fisher,100,0.807
32,retrain,200,0.82
33,MUter,200,0.812
34,Newton_delta,200,0.785
35,Influence_delta,200,0.787
36,Fisher_delta,200,0.806
37,Newton,200,0.78
38,Influence,200,0.782
39,Fisher,200,0.801
40,retrain,400,0.808
41,MUter,400,0.812
42,Newton_delta,400,0.75
43,Influence_delta,400,0.755
44,Fisher_delta,400,0.776
45,Newton,400,0.719
46,Influence,400,0.732
47,Fisher,400,0.769
48,retrain,1,0.822
49,MUter,1,0.822
50,Newton_delta,1,0.82
51,Influence_delta,1,0.82
52,Fisher_delta,1,0.82
53,Newton,1,0.822
54,Influence,1,0.822
55,Fisher,1,0.822
56,retrain,20,0.814
57,MUter,20,0.811
58,Newton_delta,20,0.797
59,Influence_delta,20,0.799
60,Fisher_delta,20,0.801
61,Newton,20,0.803
62,Influence,20,0.802
63,Fisher,20,0.808
64,retrain,50,0.825
65,MUter,50,0.826
66,Newton_delta,50,0.803
67,Influence_delta,50,0.803
68,Fisher_delta,50,0.808
69,Newton,50,0.807
70,Influence,50,0.807
71,Fisher,50,0.812
72,retrain,100,0.823
73,MUter,100,0.821
74,Newton_delta,100,0.799
75,Influence_delta,100,0.799
76,Fisher_delta,100,0.797
77,Newton,100,0.79
78,Influence,100,0.79
79,Fisher,100,0.797
80,retrain,200,0.829
81,MUter,200,0.827
82,Newton_delta,200,0.781
83,Influence_delta,200,0.783
84,Fisher_delta,200,0.79
85,Newton,200,0.761
86,Influence,200,0.764
87,Fisher,200,0.791
88,retrain,400,0.82
89,MUter,400,0.822
90,Newton_delta,400,0.71
91,Influence_delta,400,0.722
92,Fisher_delta,400,0.744
93,Newton,400,0.702
94,Influence,400,0.709
95,Fisher,400,0.754
96,retrain,1,0.826
97,MUter,1,0.825
98,Newton_delta,1,0.825
99,Influence_delta,1,0.825
100,Fisher_delta,1,0.826
101,Newton,1,0.826
102,Influence,1,0.826
103,Fisher,1,0.825
104,retrain,20,0.815
105,MUter,20,0.822
106,Newton_delta,20,0.813
107,Influence_delta,20,0.816
108,Fisher_delta,20,0.818
109,Newton,20,0.812
110,Influence,20,0.813
111,Fisher,20,0.811
112,retrain,50,0.826
113,MUter,50,0.827
114,Newton_delta,50,0.821
115,Influence_delta,50,0.82
116,Fisher_delta,50,0.818
117,Newton,50,0.818
118,Influence,50,0.819
119,Fisher,50,0.821
120,retrain,100,0.829
121,MUter,100,0.831
122,Newton_delta,100,0.806
123,Influence_delta,100,0.807
124,Fisher_delta,100,0.811
125,Newton,100,0.806
126,Influence,100,0.806
127,Fisher,100,0.818
128,retrain,200,0.824
129,MUter,200,0.829
130,Newton_delta,200,0.79
131,Influence_delta,200,0.796
132,Fisher_delta,200,0.796
133,Newton,200,0.79
134,Influence,200,0.793
135,Fisher,200,0.797
136,retrain,400,0.835
137,MUter,400,0.836
138,Newton_delta,400,0.704
139,Influence_delta,400,0.725
140,Fisher_delta,400,0.751
141,Newton,400,0.72
142,Influence,400,0.738
143,Fisher,400,0.755
