,method,index,value
0,MUter,1,0.00021689477
1,Newton_delta,1,0.01676669
2,Influence_delta,1,0.016796233
3,Fisher_delta,1,0.018382374
4,Newton,1,0.01320642
5,Influence,1,0.013355814
6,Fisher,1,0.015556209
7,MUter,200,0.0040053776
8,Newton_delta,200,0.273732
9,Influence_delta,200,0.2675218
10,Fisher_delta,200,0.2750029
11,Newton,200,0.2117084
12,Influence,200,0.20886284
13,Fisher,200,0.2904677
14,MUter,500,0.007073442
15,Newton_delta,500,0.42065275
16,Influence_delta,500,0.41147527
17,Fisher_delta,500,0.45691139
18,Newton,500,0.3782115
19,Influence,500,0.37014142
20,Fisher,500,0.4756981
21,MUter,1000,0.018225636
22,Newton_delta,1000,0.63854825
23,Influence_delta,1000,0.6145084
24,Fisher_delta,1000,0.6477776
25,Newton,1000,0.5178688
26,Influence,1000,0.5070654
27,Fisher,1000,0.6628361
28,MUter,2000,0.009602514
29,Newton_delta,2000,0.94557065
30,Influence_delta,2000,0.90464413
31,Fisher_delta,2000,0.9970715
32,Newton,2000,0.7446738
33,Influence,2000,0.7100327
34,Fisher,2000,0.93830836
35,MUter,4000,0.02053436
36,Newton_delta,4000,1.5653534
37,Influence_delta,4000,1.4563484
38,Fisher_delta,4000,1.5754731
39,Newton,4000,1.0717378
40,Influence,4000,1.0663011
41,Fisher,4000,1.3864715
42,MUter,1,0.00012802932
43,Newton_delta,1,0.017103955
44,Influence_delta,1,0.016610296
45,Fisher_delta,1,0.017886454
46,Newton,1,0.015153048
47,Influence,1,0.015312239
48,Fisher,1,0.019711003
49,MUter,200,0.0063731205
50,Newton_delta,200,0.2496791
51,Influence_delta,200,0.24348223
52,Fisher_delta,200,0.26230916
53,Newton,200,0.2116624
54,Influence,200,0.20519285
55,Fisher,200,0.26642618
56,MUter,500,0.006792243
57,Newton_delta,500,0.43299282
58,Influence_delta,500,0.43016103
59,Fisher_delta,500,0.43048167
60,Newton,500,0.33057818
61,Influence,500,0.33797497
62,Fisher,500,0.44254076
63,MUter,1000,0.007967096
64,Newton_delta,1000,0.60710603
65,Influence_delta,1000,0.60164833
66,Fisher_delta,1000,0.6167126
67,Newton,1000,0.4793434
68,Influence,1000,0.4805043
69,Fisher,1000,0.5966342
70,MUter,2000,0.049181886
71,Newton_delta,2000,0.94431365
72,Influence_delta,2000,0.9070935
73,Fisher_delta,2000,0.9475801
74,Newton,2000,0.73544264
75,Influence,2000,0.6989129
76,Fisher,2000,0.8530253
77,MUter,4000,0.01230021
78,Newton_delta,4000,1.4957076
79,Influence_delta,4000,1.4354287
80,Fisher_delta,4000,1.5341853
81,Newton,4000,1.1084852
82,Influence,4000,1.0341022
83,Fisher,4000,1.3061256
84,MUter,1,0.00011914341
85,Newton_delta,1,0.008023637
86,Influence_delta,1,0.007947804
87,Fisher_delta,1,0.008170688
88,Newton,1,0.0038354266
89,Influence,1,0.003527215
90,Fisher,1,0.0049929046
91,MUter,200,0.0016441826
92,Newton_delta,200,0.2287616
93,Influence_delta,200,0.23285593
94,Fisher_delta,200,0.25540367
95,Newton,200,0.19678955
96,Influence,200,0.18539396
97,Fisher,200,0.24607094
98,MUter,500,0.002959425
99,Newton_delta,500,0.4048024
100,Influence_delta,500,0.40419295
101,Fisher_delta,500,0.4453974
102,Newton,500,0.3473105
103,Influence,500,0.33151743
104,Fisher,500,0.42969978
105,MUter,1000,0.0058054123
106,Newton_delta,1000,0.6166347
107,Influence_delta,1000,0.60051966
108,Fisher_delta,1000,0.63638735
109,Newton,1000,0.49452484
110,Influence,1000,0.48448876
111,Fisher,1000,0.6119242
112,MUter,2000,0.03525373
113,Newton_delta,2000,0.93212926
114,Influence_delta,2000,0.9008364
115,Fisher_delta,2000,0.9296266
116,Newton,2000,0.6971514
117,Influence,2000,0.6861504
118,Fisher,2000,0.8625975
119,MUter,4000,0.012658674
120,Newton_delta,4000,1.5488478
121,Influence_delta,4000,1.5224295
122,Fisher_delta,4000,1.5631983
123,Newton,4000,1.1879905
124,Influence,4000,1.102501
125,Fisher,4000,1.455486
