,method,index,value
0,retrain,1,0.3498
1,MUter,1,0.3511
2,Newton_delta,1,0.3511
3,Influence_delta,1,0.3514
4,Fisher_delta,1,0.3506
5,Newton,1,0.3509
6,Influence,1,0.3516
7,Fisher,1,0.3515
8,retrain,200,0.3346
9,MUter,200,0.3349
10,Newton_delta,200,0.3331
11,Influence_delta,200,0.3337
12,Fisher_delta,200,0.332
13,Newton,200,0.333
14,Influence,200,0.3328
15,Fisher,200,0.3325
16,retrain,500,0.3512
17,MUter,500,0.3517
18,Newton_delta,500,0.3505
19,Influence_delta,500,0.3512
20,Fisher_delta,500,0.3513
21,Newton,500,0.353
22,Influence,500,0.3543
23,Fisher,500,0.3545
24,retrain,1000,0.3521
25,MUter,1000,0.3506
26,Newton_delta,1000,0.3519
27,Influence_delta,1000,0.3522
28,Fisher_delta,1000,0.352
29,Newton,1000,0.3534
30,Influence,1000,0.3534
31,Fisher,1000,0.3551
32,retrain,2000,0.3515
33,MUter,2000,0.3502
34,Newton_delta,2000,0.3496
35,Influence_delta,2000,0.3498
36,Fisher_delta,2000,0.3497
37,Newton,2000,0.355
38,Influence,2000,0.3548
39,Fisher,2000,0.3562
40,retrain,4000,0.3508
41,MUter,4000,0.3507
42,Newton_delta,4000,0.3404
43,Influence_delta,4000,0.3432
44,Fisher_delta,4000,0.34
45,Newton,4000,0.3509
46,Influence,4000,0.3515
47,Fisher,4000,0.3513
48,retrain,1,0.3492
49,MUter,1,0.3475
50,Newton_delta,1,0.3483
51,Influence_delta,1,0.348
52,Fisher_delta,1,0.348
53,Newton,1,0.3483
54,Influence,1,0.3476
55,Fisher,1,0.348
56,retrain,200,0.339
57,MUter,200,0.3392
58,Newton_delta,200,0.3386
59,Influence_delta,200,0.3389
60,Fisher_delta,200,0.3392
61,Newton,200,0.34
62,Influence,200,0.3404
63,Fisher,200,0.3405
64,retrain,500,0.3505
65,MUter,500,0.3495
66,Newton_delta,500,0.3483
67,Influence_delta,500,0.3486
68,Fisher_delta,500,0.3478
69,Newton,500,0.3502
70,Influence,500,0.3504
71,Fisher,500,0.3495
72,retrain,1000,0.3515
73,MUter,1000,0.351
74,Newton_delta,1000,0.3497
75,Influence_delta,1000,0.3492
76,Fisher_delta,1000,0.3493
77,Newton,1000,0.3516
78,Influence,1000,0.3514
79,Fisher,1000,0.3523
80,retrain,2000,0.3504
81,MUter,2000,0.3494
82,Newton_delta,2000,0.3463
83,Influence_delta,2000,0.346
84,Fisher_delta,2000,0.3461
85,Newton,2000,0.3484
86,Influence,2000,0.3477
87,Fisher,2000,0.351
88,retrain,4000,0.3498
89,MUter,4000,0.3511
90,Newton_delta,4000,0.3387
91,Influence_delta,4000,0.3399
92,Fisher_delta,4000,0.3397
93,Newton,4000,0.3455
94,Influence,4000,0.3458
95,Fisher,4000,0.3481
96,retrain,1,0.3506
97,MUter,1,0.3511
98,Newton_delta,1,0.3506
99,Influence_delta,1,0.351
100,Fisher_delta,1,0.3502
101,Newton,1,0.351
102,Influence,1,0.3508
103,Fisher,1,0.3509
104,retrain,200,0.3323
105,MUter,200,0.3334
106,Newton_delta,200,0.3333
107,Influence_delta,200,0.3338
108,Fisher_delta,200,0.3343
109,Newton,200,0.3333
110,Influence,200,0.3349
111,Fisher,200,0.3318
112,retrain,500,0.349
113,MUter,500,0.3498
114,Newton_delta,500,0.3481
115,Influence_delta,500,0.3477
116,Fisher_delta,500,0.3485
117,Newton,500,0.3502
118,Influence,500,0.349
119,Fisher,500,0.3512
120,retrain,1000,0.3488
121,MUter,1000,0.3501
122,Newton_delta,1000,0.3474
123,Influence_delta,1000,0.3475
124,Fisher_delta,1000,0.3471
125,Newton,1000,0.3507
126,Influence,1000,0.3516
127,Fisher,1000,0.352
128,retrain,2000,0.3508
129,MUter,2000,0.3516
130,Newton_delta,2000,0.3451
131,Influence_delta,2000,0.3451
132,Fisher_delta,2000,0.3444
133,Newton,2000,0.349
134,Influence,2000,0.3498
135,Fisher,2000,0.3517
136,retrain,4000,0.3524
137,MUter,4000,0.3519
138,Newton_delta,4000,0.3392
139,Influence_delta,4000,0.3395
140,Fisher_delta,4000,0.3384
141,Newton,4000,0.3466
142,Influence,4000,0.3479
143,Fisher,4000,0.3481
