,method,index,value
0,MUter,1,1.8994673e-05
1,Newton_delta,1,0.020882212
2,Influence_delta,1,0.020259472
3,Fisher_delta,1,0.019210208
4,Newton,1,0.014193352
5,Influence,1,0.013938013
6,Fisher,1,0.014905464
7,MUter,200,0.00068273034
8,Newton_delta,200,0.2597178
9,Influence_delta,200,0.25739002
10,Fisher_delta,200,0.2780269
11,Newton,200,0.20851505
12,Influence,200,0.20667014
13,Fisher,200,0.28734893
14,MUter,500,0.00050134264
15,Newton_delta,500,0.45365605
16,Influence_delta,500,0.43867886
17,Fisher_delta,500,0.44308272
18,Newton,500,0.35048664
19,Influence,500,0.3230501
20,Fisher,500,0.45225996
21,MUter,1000,0.0020241656
22,Newton_delta,1000,0.5893852
23,Influence_delta,1000,0.5769445
24,Fisher_delta,1000,0.6208354
25,Newton,1000,0.44468698
26,Influence,1000,0.43657133
27,Fisher,1000,0.6092298
28,MUter,2000,0.0014010193
29,Newton_delta,2000,0.9114399
30,Influence_delta,2000,0.8880601
31,Fisher_delta,2000,0.9201502
32,Newton,2000,0.7027084
33,Influence,2000,0.69448584
34,Fisher,2000,0.87927634
35,MUter,4000,0.003130186
36,Newton_delta,4000,1.3264436
37,Influence_delta,4000,1.1981161
38,Fisher_delta,4000,1.3232894
39,Newton,4000,0.9872739
40,Influence,4000,0.9386077
41,Fisher,4000,1.2866516
42,MUter,1,2.044875e-05
43,Newton_delta,1,0.01880816
44,Influence_delta,1,0.01799866
45,Fisher_delta,1,0.0184194
46,Newton,1,0.012917936
47,Influence,1,0.0136552
48,Fisher,1,0.017117629
49,MUter,200,0.00039870205
50,Newton_delta,200,0.267207
51,Influence_delta,200,0.2613089
52,Fisher_delta,200,0.25290027
53,Newton,200,0.19836576
54,Influence,200,0.19545333
55,Fisher,200,0.26393533
56,MUter,500,0.00065387605
57,Newton_delta,500,0.42515907
58,Influence_delta,500,0.40101177
59,Fisher_delta,500,0.4132047
60,Newton,500,0.31722662
61,Influence,500,0.30569097
62,Fisher,500,0.42764163
63,MUter,1000,0.0015694397
64,Newton_delta,1000,0.57101953
65,Influence_delta,1000,0.5545806
66,Fisher_delta,1000,0.5612797
67,Newton,1000,0.45452446
68,Influence,1000,0.44152534
69,Fisher,1000,0.5932065
70,MUter,2000,0.0026201752
71,Newton_delta,2000,0.8408422
72,Influence_delta,2000,0.8284503
73,Fisher_delta,2000,0.81605786
74,Newton,2000,0.65868896
75,Influence,2000,0.63956124
76,Fisher,2000,0.8509483
77,MUter,4000,0.0056460514
78,Newton_delta,4000,1.2045635
79,Influence_delta,4000,1.1005856
80,Fisher_delta,4000,1.1942487
81,Newton,4000,0.9901202
82,Influence,4000,0.9448997
83,Fisher,4000,1.2625065
84,MUter,1,0.000432602
85,Newton_delta,1,0.006238737
86,Influence_delta,1,0.0061370935
87,Fisher_delta,1,0.00690886
88,Newton,1,0.0040946286
89,Influence,1,0.0040370943
90,Fisher,1,0.005547903
91,MUter,200,0.00061851216
92,Newton_delta,200,0.23604329
93,Influence_delta,200,0.23239669
94,Fisher_delta,200,0.25987843
95,Newton,200,0.18450852
96,Influence,200,0.19376135
97,Fisher,200,0.25569162
98,MUter,500,0.004206556
99,Newton_delta,500,0.3934815
100,Influence_delta,500,0.37963298
101,Fisher_delta,500,0.41347864
102,Newton,500,0.2915813
103,Influence,500,0.2939091
104,Fisher,500,0.42843518
105,MUter,1000,0.004931567
106,Newton_delta,1000,0.58816665
107,Influence_delta,1000,0.5702398
108,Fisher_delta,1000,0.5932363
109,Newton,1000,0.41497824
110,Influence,1000,0.40549546
111,Fisher,1000,0.58152986
112,MUter,2000,0.003419683
113,Newton_delta,2000,0.81158334
114,Influence_delta,2000,0.7943987
115,Fisher_delta,2000,0.8596805
116,Newton,2000,0.6161182
117,Influence,2000,0.64032054
118,Fisher,2000,0.82864916
119,MUter,4000,0.0040911245
120,Newton_delta,4000,1.2209548
121,Influence_delta,4000,1.1579338
122,Fisher_delta,4000,1.2959934
123,Newton,4000,1.040653
124,Influence,4000,0.9833288
125,Fisher,4000,1.3329818
