,method,index,value
0,MUter,2500,0.012683048
1,Newton_delta,2500,1.0798566
2,Influence_delta,2500,1.0088017
3,Fisher_delta,2500,1.1354209
4,Newton,2500,0.8068356
5,Influence,2500,0.7619617
6,Fisher,2500,1.0859658
7,MUter,5000,0.048015382
8,Newton_delta,5000,1.8406745
9,Influence_delta,5000,1.7813097
10,Fisher_delta,5000,1.851196
11,Newton,5000,1.3287568
12,Influence,5000,1.2170272
13,Fisher,5000,1.6578343
14,MUter,7500,0.19026484
15,Newton_delta,7500,2.9031355
16,Influence_delta,7500,2.5583527
17,Fisher_delta,7500,2.7966924
18,Newton,7500,1.9082121
19,Influence,7500,1.7260056
20,Fisher,7500,2.3359876
21,MUter,10000,0.29628032
22,Newton_delta,10000,3.642882
23,Influence_delta,10000,3.4490185
24,Fisher_delta,10000,3.6780286
25,Newton,10000,2.3412886
26,Influence,10000,2.1773617
27,Fisher,10000,3.0449405
28,MUter,2500,0.011308419
29,Newton_delta,2500,1.0900731
30,Influence_delta,2500,1.0022331
31,Fisher_delta,2500,1.1013876
32,Newton,2500,0.8312344
33,Influence,2500,0.7644422
34,Fisher,2500,0.99384695
35,MUter,5000,0.045509357
36,Newton_delta,5000,1.7740942
37,Influence_delta,5000,1.6604877
38,Fisher_delta,5000,1.822302
39,Newton,5000,1.2694147
40,Influence,5000,1.2122161
41,Fisher,5000,1.5524558
42,MUter,7500,0.2522543
43,Newton_delta,7500,2.781924
44,Influence_delta,7500,2.532614
45,Fisher_delta,7500,2.6280606
46,Newton,7500,1.8079673
47,Influence,7500,1.7728014
48,Fisher,7500,2.209719
49,MUter,10000,0.29623678
50,Newton_delta,10000,3.501254
51,Influence_delta,10000,3.2654064
52,Fisher_delta,10000,3.4752145
53,Newton,10000,2.251924
54,Influence,10000,2.1927018
55,Fisher,10000,2.9606712
56,MUter,2500,0.013976792
57,Newton_delta,2500,1.1152129
58,Influence_delta,2500,1.060253
59,Fisher_delta,2500,1.1098146
60,Newton,2500,0.79826736
61,Influence,2500,0.756212
62,Fisher,2500,0.9784032
63,MUter,5000,0.051768105
64,Newton_delta,5000,1.9213825
65,Influence_delta,5000,1.7334116
66,Fisher_delta,5000,1.8989449
67,Newton,5000,1.3740845
68,Influence,5000,1.2554764
69,Fisher,5000,1.7017564
70,MUter,7500,0.1168521
71,Newton_delta,7500,2.6364517
72,Influence_delta,7500,2.5946343
73,Fisher_delta,7500,2.623482
74,Newton,7500,1.9397346
75,Influence,7500,1.7988415
76,Fisher,7500,2.2554162
77,MUter,10000,0.41769558
78,Newton_delta,10000,3.4779394
79,Influence_delta,10000,3.399266
80,Fisher_delta,10000,3.4988744
81,Newton,10000,2.452549
82,Influence,10000,2.3061335
83,Fisher,10000,3.1494222
