,method,index,value
0,retrain,2500,0.4329
1,MUter,2500,0.4317
2,Newton_delta,2500,0.4195
3,Influence_delta,2500,0.4216
4,Fisher_delta,2500,0.4214
5,Newton,2500,0.425
6,Influence,2500,0.4267
7,Fisher,2500,0.4262
8,retrain,5000,0.4347
9,MUter,5000,0.4321
10,Newton_delta,5000,0.4024
11,Influence_delta,5000,0.405
12,Fisher_delta,5000,0.4046
13,Newton,5000,0.4159
14,Influence,5000,0.4165
15,Fisher,5000,0.4152
16,retrain,7500,0.432
17,MUter,7500,0.4309
18,Newton_delta,7500,0.3785
19,Influence_delta,7500,0.3843
20,Fisher_delta,7500,0.3825
21,Newton,7500,0.3962
22,Influence,7500,0.4028
23,Fisher,7500,0.3931
24,retrain,10000,0.4308
25,MUter,10000,0.4295
26,Newton_delta,10000,0.3563
27,Influence_delta,10000,0.3607
28,Fisher_delta,10000,0.3578
29,Newton,10000,0.3801
30,Influence,10000,0.3849
31,Fisher,10000,0.3661
32,retrain,2500,0.4344
33,MUter,2500,0.4356
34,Newton_delta,2500,0.4201
35,Influence_delta,2500,0.4214
36,Fisher_delta,2500,0.4198
37,Newton,2500,0.4256
38,Influence,2500,0.4266
39,Fisher,2500,0.4267
40,retrain,5000,0.4346
41,MUter,5000,0.434
42,Newton_delta,5000,0.4054
43,Influence_delta,5000,0.4064
44,Fisher_delta,5000,0.4056
45,Newton,5000,0.418
46,Influence,5000,0.4195
47,Fisher,5000,0.4174
48,retrain,7500,0.4329
49,MUter,7500,0.4312
50,Newton_delta,7500,0.3784
51,Influence_delta,7500,0.3841
52,Fisher_delta,7500,0.3846
53,Newton,7500,0.4033
54,Influence,7500,0.4045
55,Fisher,7500,0.3996
56,retrain,10000,0.4296
57,MUter,10000,0.4308
58,Newton_delta,10000,0.3587
59,Influence_delta,10000,0.3653
60,Fisher_delta,10000,0.3625
61,Newton,10000,0.3847
62,Influence,10000,0.3912
63,Fisher,10000,0.3735
64,retrain,2500,0.4338
65,MUter,2500,0.4328
66,Newton_delta,2500,0.4206
67,Influence_delta,2500,0.4211
68,Fisher_delta,2500,0.4207
69,Newton,2500,0.4264
70,Influence,2500,0.4267
71,Fisher,2500,0.4269
72,retrain,5000,0.434
73,MUter,5000,0.4343
74,Newton_delta,5000,0.4012
75,Influence_delta,5000,0.4048
76,Fisher_delta,5000,0.4016
77,Newton,5000,0.4143
78,Influence,5000,0.4157
79,Fisher,5000,0.4173
80,retrain,7500,0.4316
81,MUter,7500,0.4314
82,Newton_delta,7500,0.3803
83,Influence_delta,7500,0.3842
84,Fisher_delta,7500,0.3826
85,Newton,7500,0.3969
86,Influence,7500,0.401
87,Fisher,7500,0.3985
88,retrain,10000,0.4308
89,MUter,10000,0.4266
90,Newton_delta,10000,0.3539
91,Influence_delta,10000,0.358
92,Fisher_delta,10000,0.3572
93,Newton,10000,0.3787
94,Influence,10000,0.3849
95,Fisher,10000,0.3682
