,method,index,value
0,retrain,2500,0.677
1,MUter,2500,0.6774
2,Newton_delta,2500,0.675
3,Influence_delta,2500,0.6751
4,Fisher_delta,2500,0.6734
5,Newton,2500,0.6626
6,Influence,2500,0.6645
7,Fisher,2500,0.6592
8,retrain,5000,0.6767
9,MUter,5000,0.6775
10,Newton_delta,5000,0.6694
11,Influence_delta,5000,0.6695
12,Fisher_delta,5000,0.6713
13,Newton,5000,0.6457
14,Influence,5000,0.6481
15,Fisher,5000,0.6527
16,retrain,7500,0.6052
17,MUter,7500,0.588
18,Newton_delta,7500,0.5833
19,Influence_delta,7500,0.5853
20,Fisher_delta,7500,0.5783
21,Newton,7500,0.5267
22,Influence,7500,0.5346
23,Fisher,7500,0.3374
24,retrain,10000,0.6793
25,MUter,10000,0.6777
26,Newton_delta,10000,0.6608
27,Influence_delta,10000,0.6623
28,Fisher_delta,10000,0.6602
29,Newton,10000,0.6
30,Influence,10000,0.6041
31,Fisher,10000,0.4729
32,retrain,2500,0.6524
33,MUter,2500,0.6547
34,Newton_delta,2500,0.6462
35,Influence_delta,2500,0.6464
36,Fisher_delta,2500,0.6433
37,Newton,2500,0.6329
38,Influence,2500,0.6346
39,Fisher,2500,0.6261
40,retrain,5000,0.6779
41,MUter,5000,0.6787
42,Newton_delta,5000,0.6669
43,Influence_delta,5000,0.6691
44,Fisher_delta,5000,0.6669
45,Newton,5000,0.6445
46,Influence,5000,0.6467
47,Fisher,5000,0.646
48,retrain,7500,0.6033
49,MUter,7500,0.604
50,Newton_delta,7500,0.5777
51,Influence_delta,7500,0.5793
52,Fisher_delta,7500,0.5715
53,Newton,7500,0.5243
54,Influence,7500,0.5299
55,Fisher,7500,0.2976
56,retrain,10000,0.6789
57,MUter,10000,0.6806
58,Newton_delta,10000,0.655
59,Influence_delta,10000,0.6563
60,Fisher_delta,10000,0.6544
61,Newton,10000,0.5915
62,Influence,10000,0.5983
63,Fisher,10000,0.4286
64,retrain,2500,0.6548
65,MUter,2500,0.6575
66,Newton_delta,2500,0.6516
67,Influence_delta,2500,0.652
68,Fisher_delta,2500,0.6493
69,Newton,2500,0.6382
70,Influence,2500,0.6399
71,Fisher,2500,0.6308
72,retrain,5000,0.6745
73,MUter,5000,0.6716
74,Newton_delta,5000,0.6687
75,Influence_delta,5000,0.6693
76,Fisher_delta,5000,0.6671
77,Newton,5000,0.644
78,Influence,5000,0.6461
79,Fisher,5000,0.642
80,retrain,7500,0.6046
81,MUter,7500,0.569
82,Newton_delta,7500,0.5756
83,Influence_delta,7500,0.5779
84,Fisher_delta,7500,0.5638
85,Newton,7500,0.5154
86,Influence,7500,0.5246
87,Fisher,7500,0.2552
88,retrain,10000,0.6768
89,MUter,10000,0.668
90,Newton_delta,10000,0.6555
91,Influence_delta,10000,0.6578
92,Fisher_delta,10000,0.6538
93,Newton,10000,0.5864
94,Influence,10000,0.5942
95,Fisher,10000,0.371
