,method,index,value
0,MUter,2500,0.0018441331
1,Newton_delta,2500,0.9987715
2,Influence_delta,2500,0.90483844
3,Fisher_delta,2500,0.9775502
4,Newton,2500,0.72499377
5,Influence,2500,0.67289823
6,Fisher,2500,1.0584185
7,MUter,5000,0.0048425426
8,Newton_delta,5000,1.4537442
9,Influence_delta,5000,1.3691456
10,Fisher_delta,5000,1.553045
11,Newton,5000,1.273101
12,Influence,5000,1.1779343
13,Fisher,5000,1.564058
14,MUter,7500,0.07517426
15,Newton_delta,7500,1.9536192
16,Influence_delta,7500,1.841028
17,Fisher_delta,7500,2.1162417
18,Newton,7500,1.6028786
19,Influence,7500,1.6367756
20,Fisher,7500,2.5384219
21,MUter,10000,0.03607892
22,Newton_delta,10000,2.4467459
23,Influence_delta,10000,2.2799716
24,Fisher_delta,10000,2.7638326
25,Newton,10000,2.090194
26,Influence,10000,1.9217639
27,Fisher,10000,3.183799
28,MUter,2500,0.0017221308
29,Newton_delta,2500,0.910769
30,Influence_delta,2500,0.8586387
31,Fisher_delta,2500,0.9295868
32,Newton,2500,0.74704975
33,Influence,2500,0.7049827
34,Fisher,2500,1.0668341
35,MUter,5000,0.0029354093
36,Newton_delta,5000,1.4307483
37,Influence_delta,5000,1.2368456
38,Fisher_delta,5000,1.4578696
39,Newton,5000,1.1711239
40,Influence,5000,1.0898616
41,Fisher,5000,1.5455408
42,MUter,7500,0.006309727
43,Newton_delta,7500,1.7783622
44,Influence_delta,7500,1.6745076
45,Fisher_delta,7500,1.8750064
46,Newton,7500,1.6508719
47,Influence,7500,1.5996834
48,Fisher,7500,2.6397138
49,MUter,10000,0.0075473557
50,Newton_delta,10000,2.2000155
51,Influence_delta,10000,2.0526454
52,Fisher_delta,10000,2.3851762
53,Newton,10000,2.1360629
54,Influence,10000,1.9549433
55,Fisher,10000,3.2840383
56,MUter,2500,0.005791446
57,Newton_delta,2500,0.8903515
58,Influence_delta,2500,0.86225045
59,Fisher_delta,2500,0.8904644
60,Newton,2500,0.73186934
61,Influence,2500,0.6885985
62,Fisher,2500,1.0059954
63,MUter,5000,0.015003132
64,Newton_delta,5000,1.3957235
65,Influence_delta,5000,1.2999339
66,Fisher_delta,5000,1.499126
67,Newton,5000,1.1729057
68,Influence,5000,1.0939703
69,Fisher,5000,1.5536549
70,MUter,7500,0.057518516
71,Newton_delta,7500,1.8123794
72,Influence_delta,7500,1.6831602
73,Fisher_delta,7500,1.9350691
74,Newton,7500,1.6694915
75,Influence,7500,1.5410451
76,Fisher,7500,2.7292926
77,MUter,10000,0.028495062
78,Newton_delta,10000,2.2075293
79,Influence_delta,10000,2.1658132
80,Fisher_delta,10000,2.5128686
81,Newton,10000,2.1314359
82,Influence,10000,1.9874575
83,Fisher,10000,3.3219066
