,method,index,value
0,retrain,2500,0.8385
1,MUter,2500,0.8405
2,Newton_delta,2500,0.8349
3,Influence_delta,2500,0.8357
4,Fisher_delta,2500,0.8359
5,Newton,2500,0.8317
6,Influence,2500,0.8323
7,Fisher,2500,0.8257
8,retrain,5000,0.838
9,MUter,5000,0.8376
10,Newton_delta,5000,0.8292
11,Influence_delta,5000,0.8302
12,Fisher_delta,5000,0.8291
13,Newton,5000,0.8156
14,Influence,5000,0.8178
15,Fisher,5000,0.8042
16,retrain,7500,0.8374
17,MUter,7500,0.8344
18,Newton_delta,7500,0.8111
19,Influence_delta,7500,0.8141
20,Fisher_delta,7500,0.8103
21,Newton,7500,0.7931
22,Influence,7500,0.7975
23,Fisher,7500,0.6426
24,retrain,10000,0.8408
25,MUter,10000,0.8395
26,Newton_delta,10000,0.7998
27,Influence_delta,10000,0.8025
28,Fisher_delta,10000,0.7952
29,Newton,10000,0.7706
30,Influence,10000,0.7767
31,Fisher,10000,0.3115
32,retrain,2500,0.8365
33,MUter,2500,0.8369
34,Newton_delta,2500,0.8302
35,Influence_delta,2500,0.8306
36,Fisher_delta,2500,0.831
37,Newton,2500,0.8271
38,Influence,2500,0.8273
39,Fisher,2500,0.824
40,retrain,5000,0.8381
41,MUter,5000,0.8373
42,Newton_delta,5000,0.8256
43,Influence_delta,5000,0.8265
44,Fisher_delta,5000,0.8248
45,Newton,5000,0.8152
46,Influence,5000,0.8174
47,Fisher,5000,0.8092
48,retrain,7500,0.8409
49,MUter,7500,0.8367
50,Newton_delta,7500,0.8176
51,Influence_delta,7500,0.8187
52,Fisher_delta,7500,0.8162
53,Newton,7500,0.7992
54,Influence,7500,0.8032
55,Fisher,7500,0.783
56,retrain,10000,0.8326
57,MUter,10000,0.8332
58,Newton_delta,10000,0.8015
59,Influence_delta,10000,0.8045
60,Fisher_delta,10000,0.7993
61,Newton,10000,0.7748
62,Influence,10000,0.781
63,Fisher,10000,0.707
64,retrain,2500,0.8422
65,MUter,2500,0.8403
66,Newton_delta,2500,0.8353
67,Influence_delta,2500,0.8352
68,Fisher_delta,2500,0.8368
69,Newton,2500,0.8317
70,Influence,2500,0.8327
71,Fisher,2500,0.8308
72,retrain,5000,0.8413
73,MUter,5000,0.8407
74,Newton_delta,5000,0.8244
75,Influence_delta,5000,0.825
76,Fisher_delta,5000,0.8258
77,Newton,5000,0.8164
78,Influence,5000,0.8185
79,Fisher,5000,0.8109
80,retrain,7500,0.8349
81,MUter,7500,0.839
82,Newton_delta,7500,0.8138
83,Influence_delta,7500,0.8159
84,Fisher_delta,7500,0.8159
85,Newton,7500,0.8008
86,Influence,7500,0.8051
87,Fisher,7500,0.7848
88,retrain,10000,0.8387
89,MUter,10000,0.8376
90,Newton_delta,10000,0.8032
91,Influence_delta,10000,0.8049
92,Fisher_delta,10000,0.802
93,Newton,10000,0.7789
94,Influence,10000,0.7837
95,Fisher,10000,0.7153
