,method,index,value
0,retrain,1,0.8425
1,MUter,1,0.8429
2,Newton_delta,1,0.8429
3,Influence_delta,1,0.8429
4,Fisher_delta,1,0.8428
5,Newton,1,0.8429
6,Influence,1,0.843
7,Fisher,1,0.8427
8,retrain,200,0.8404
9,MUter,200,0.8377
10,Newton_delta,200,0.8377
11,Influence_delta,200,0.8376
12,Fisher_delta,200,0.8377
13,Newton,200,0.8374
14,Influence,200,0.8373
15,Fisher,200,0.8387
16,retrain,500,0.8409
17,MUter,500,0.8402
18,Newton_delta,500,0.8385
19,Influence_delta,500,0.8385
20,Fisher_delta,500,0.838
21,Newton,500,0.8384
22,Influence,500,0.8383
23,Fisher,500,0.8382
24,retrain,1000,0.8387
25,MUter,1000,0.8388
26,Newton_delta,1000,0.8366
27,Influence_delta,1000,0.8368
28,Fisher_delta,1000,0.8367
29,Newton,1000,0.8346
30,Influence,1000,0.8343
31,Fisher,1000,0.8348
32,retrain,2000,0.8386
33,MUter,2000,0.8377
34,Newton_delta,2000,0.8342
35,Influence_delta,2000,0.8348
36,Fisher_delta,2000,0.8342
37,Newton,2000,0.8306
38,Influence,2000,0.8308
39,Fisher,2000,0.8296
40,retrain,4000,0.8406
41,MUter,4000,0.8429
42,Newton_delta,4000,0.8322
43,Influence_delta,4000,0.8327
44,Fisher_delta,4000,0.8324
45,Newton,4000,0.8233
46,Influence,4000,0.825
47,Fisher,4000,0.8101
48,retrain,1,0.8422
49,MUter,1,0.8419
50,Newton_delta,1,0.842
51,Influence_delta,1,0.8419
52,Fisher_delta,1,0.842
53,Newton,1,0.8419
54,Influence,1,0.842
55,Fisher,1,0.842
56,retrain,200,0.8389
57,MUter,200,0.8382
58,Newton_delta,200,0.8379
59,Influence_delta,200,0.8379
60,Fisher_delta,200,0.8378
61,Newton,200,0.837
62,Influence,200,0.8371
63,Fisher,200,0.8374
64,retrain,500,0.84
65,MUter,500,0.8395
66,Newton_delta,500,0.838
67,Influence_delta,500,0.838
68,Fisher_delta,500,0.8393
69,Newton,500,0.8381
70,Influence,500,0.8381
71,Fisher,500,0.8384
72,retrain,1000,0.8409
73,MUter,1000,0.8392
74,Newton_delta,1000,0.8395
75,Influence_delta,1000,0.8396
76,Fisher_delta,1000,0.839
77,Newton,1000,0.8381
78,Influence,1000,0.8383
79,Fisher,1000,0.8386
80,retrain,2000,0.8412
81,MUter,2000,0.8397
82,Newton_delta,2000,0.8375
83,Influence_delta,2000,0.8375
84,Fisher_delta,2000,0.8388
85,Newton,2000,0.8343
86,Influence,2000,0.8355
87,Fisher,2000,0.8345
88,retrain,4000,0.8409
89,MUter,4000,0.8402
90,Newton_delta,4000,0.8306
91,Influence_delta,4000,0.8316
92,Fisher_delta,4000,0.8305
93,Newton,4000,0.8225
94,Influence,4000,0.8235
95,Fisher,4000,0.8194
96,retrain,1,0.8427
97,MUter,1,0.8432
98,Newton_delta,1,0.8432
99,Influence_delta,1,0.8432
100,Fisher_delta,1,0.8432
101,Newton,1,0.8432
102,Influence,1,0.8433
103,Fisher,1,0.8432
104,retrain,200,0.8384
105,MUter,200,0.84
106,Newton_delta,200,0.8399
107,Influence_delta,200,0.8399
108,Fisher_delta,200,0.8404
109,Newton,200,0.8396
110,Influence,200,0.8396
111,Fisher,200,0.8401
112,retrain,500,0.8415
113,MUter,500,0.8415
114,Newton_delta,500,0.8402
115,Influence_delta,500,0.8402
116,Fisher_delta,500,0.8406
117,Newton,500,0.8406
118,Influence,500,0.8408
119,Fisher,500,0.8418
120,retrain,1000,0.8404
121,MUter,1000,0.84
122,Newton_delta,1000,0.8391
123,Influence_delta,1000,0.839
124,Fisher_delta,1000,0.8397
125,Newton,1000,0.8372
126,Influence,1000,0.8372
127,Fisher,1000,0.8383
128,retrain,2000,0.842
129,MUter,2000,0.8416
130,Newton_delta,2000,0.8394
131,Influence_delta,2000,0.8396
132,Fisher_delta,2000,0.8407
133,Newton,2000,0.8356
134,Influence,2000,0.8354
135,Fisher,2000,0.8351
136,retrain,4000,0.8395
137,MUter,4000,0.8388
138,Newton_delta,4000,0.8301
139,Influence_delta,4000,0.8306
140,Fisher_delta,4000,0.8301
141,Newton,4000,0.8251
142,Influence,4000,0.8261
143,Fisher,4000,0.8202
