,method,index,value
0,retrain,2500,0.4829
1,MUter,2500,0.4855
2,Newton_delta,2500,0.47
3,Influence_delta,2500,0.4721
4,Fisher_delta,2500,0.4711
5,Newton,2500,0.478
6,Influence,2500,0.4807
7,Fisher,2500,0.4589
8,retrain,5000,0.4862
9,MUter,5000,0.4881
10,Newton_delta,5000,0.45
11,Influence_delta,5000,0.4525
12,Fisher_delta,5000,0.4465
13,Newton,5000,0.4703
14,Influence,5000,0.4743
15,Fisher,5000,0.4115
16,retrain,7500,0.4796
17,MUter,7500,0.4845
18,Newton_delta,7500,0.4219
19,Influence_delta,7500,0.4272
20,Fisher_delta,7500,0.4113
21,Newton,7500,0.454
22,Influence,7500,0.4591
23,Fisher,7500,0.2189
24,retrain,10000,0.4827
25,MUter,10000,0.4821
26,Newton_delta,10000,0.3887
27,Influence_delta,10000,0.3982
28,Fisher_delta,10000,0.3681
29,Newton,10000,0.4275
30,Influence,10000,0.4366
31,Fisher,10000,0.0348
32,retrain,2500,0.4837
33,MUter,2500,0.485
34,Newton_delta,2500,0.4739
35,Influence_delta,2500,0.4755
36,Fisher_delta,2500,0.4737
37,Newton,2500,0.4822
38,Influence,2500,0.4838
39,Fisher,2500,0.4744
40,retrain,5000,0.4852
41,MUter,5000,0.4856
42,Newton_delta,5000,0.4602
43,Influence_delta,5000,0.4611
44,Fisher_delta,5000,0.4599
45,Newton,5000,0.4744
46,Influence,5000,0.4761
47,Fisher,5000,0.4539
48,retrain,7500,0.4766
49,MUter,7500,0.4815
50,Newton_delta,7500,0.44
51,Influence_delta,7500,0.4438
52,Fisher_delta,7500,0.4369
53,Newton,7500,0.4643
54,Influence,7500,0.467
55,Fisher,7500,0.4127
56,retrain,10000,0.4819
57,MUter,10000,0.4806
58,Newton_delta,10000,0.4079
59,Influence_delta,10000,0.415
60,Fisher_delta,10000,0.4036
61,Newton,10000,0.4473
62,Influence,10000,0.453
63,Fisher,10000,0.2985
64,retrain,2500,0.4806
65,MUter,2500,0.4834
66,Newton_delta,2500,0.4729
67,Influence_delta,2500,0.4739
68,Fisher_delta,2500,0.4734
69,Newton,2500,0.4828
70,Influence,2500,0.4844
71,Fisher,2500,0.474
72,retrain,5000,0.4801
73,MUter,5000,0.48
74,Newton_delta,5000,0.455
75,Influence_delta,5000,0.4569
76,Fisher_delta,5000,0.456
77,Newton,5000,0.4706
78,Influence,5000,0.4729
79,Fisher,5000,0.4572
80,retrain,7500,0.4727
81,MUter,7500,0.4789
82,Newton_delta,7500,0.4339
83,Influence_delta,7500,0.4379
84,Fisher_delta,7500,0.434
85,Newton,7500,0.4592
86,Influence,7500,0.4631
87,Fisher,7500,0.4119
88,retrain,10000,0.4814
89,MUter,10000,0.4815
90,Newton_delta,10000,0.4095
91,Influence_delta,10000,0.4168
92,Fisher_delta,10000,0.4091
93,Newton,10000,0.4447
94,Influence,10000,0.449
95,Fisher,10000,0.3062
