,method,index,value
0,retrain,2500,0.6124
1,MUter,2500,0.6161
2,Newton_delta,2500,0.6043
3,Influence_delta,2500,0.606
4,Fisher_delta,2500,0.6025
5,Newton,2500,0.609
6,Influence,2500,0.609
7,Fisher,2500,0.6018
8,retrain,5000,0.6108
9,MUter,5000,0.6079
10,Newton_delta,5000,0.5902
11,Influence_delta,5000,0.5928
12,Fisher_delta,5000,0.5873
13,Newton,5000,0.596
14,Influence,5000,0.5972
15,Fisher,5000,0.5793
16,retrain,7500,0.6078
17,MUter,7500,0.6081
18,Newton_delta,7500,0.5744
19,Influence_delta,7500,0.5775
20,Fisher_delta,7500,0.5634
21,Newton,7500,0.5829
22,Influence,7500,0.5877
23,Fisher,7500,0.5324
24,retrain,10000,0.6092
25,MUter,10000,0.6063
26,Newton_delta,10000,0.5513
27,Influence_delta,10000,0.5577
28,Fisher_delta,10000,0.5267
29,Newton,10000,0.5678
30,Influence,10000,0.5738
31,Fisher,10000,0.3975
32,retrain,2500,0.6144
33,MUter,2500,0.6161
34,Newton_delta,2500,0.6063
35,Influence_delta,2500,0.6079
36,Fisher_delta,2500,0.6043
37,Newton,2500,0.609
38,Influence,2500,0.61
39,Fisher,2500,0.602
40,retrain,5000,0.6133
41,MUter,5000,0.6116
42,Newton_delta,5000,0.5933
43,Influence_delta,5000,0.5948
44,Fisher_delta,5000,0.5891
45,Newton,5000,0.6001
46,Influence,5000,0.6025
47,Fisher,5000,0.5783
48,retrain,7500,0.6073
49,MUter,7500,0.6084
50,Newton_delta,7500,0.5739
51,Influence_delta,7500,0.576
52,Fisher_delta,7500,0.5644
53,Newton,7500,0.5834
54,Influence,7500,0.5861
55,Fisher,7500,0.5256
56,retrain,10000,0.6127
57,MUter,10000,0.5782
58,Newton_delta,10000,0.553
59,Influence_delta,10000,0.5589
60,Fisher_delta,10000,0.5251
61,Newton,10000,0.5699
62,Influence,10000,0.5724
63,Fisher,10000,0.3969
64,retrain,2500,0.615
65,MUter,2500,0.6148
66,Newton_delta,2500,0.6066
67,Influence_delta,2500,0.6086
68,Fisher_delta,2500,0.6072
69,Newton,2500,0.6119
70,Influence,2500,0.612
71,Fisher,2500,0.6035
72,retrain,5000,0.6124
73,MUter,5000,0.6108
74,Newton_delta,5000,0.5931
75,Influence_delta,5000,0.5966
76,Fisher_delta,5000,0.5888
77,Newton,5000,0.601
78,Influence,5000,0.603
79,Fisher,5000,0.5826
80,retrain,7500,0.6062
81,MUter,7500,0.5991
82,Newton_delta,7500,0.5771
83,Influence_delta,7500,0.5814
84,Fisher_delta,7500,0.5641
85,Newton,7500,0.587
86,Influence,7500,0.5929
87,Fisher,7500,0.5323
88,retrain,10000,0.6067
89,MUter,10000,0.5787
90,Newton_delta,10000,0.5574
91,Influence_delta,10000,0.5615
92,Fisher_delta,10000,0.5311
93,Newton,10000,0.5711
94,Influence,10000,0.5747
95,Fisher,10000,0.3866
