,method,index,value
0,retrain,1,0.4859
1,MUter,1,0.4866
2,Newton_delta,1,0.4855
3,Influence_delta,1,0.4863
4,Fisher_delta,1,0.4867
5,Newton,1,0.4853
6,Influence,1,0.4869
7,Fisher,1,0.4867
8,retrain,200,0.4802
9,MUter,200,0.4834
10,Newton_delta,200,0.4821
11,Influence_delta,200,0.4833
12,Fisher_delta,200,0.4833
13,Newton,200,0.4842
14,Influence,200,0.484
15,Fisher,200,0.4837
16,retrain,500,0.486
17,MUter,500,0.4862
18,Newton_delta,500,0.4831
19,Influence_delta,500,0.4823
20,Fisher_delta,500,0.483
21,Newton,500,0.4856
22,Influence,500,0.4843
23,Fisher,500,0.4821
24,retrain,1000,0.484
25,MUter,1000,0.4838
26,Newton_delta,1000,0.4769
27,Influence_delta,1000,0.4782
28,Fisher_delta,1000,0.4783
29,Newton,1000,0.4818
30,Influence,1000,0.4821
31,Fisher,1000,0.4732
32,retrain,2000,0.4844
33,MUter,2000,0.4866
34,Newton_delta,2000,0.4714
35,Influence_delta,2000,0.4734
36,Fisher_delta,2000,0.4726
37,Newton,2000,0.4803
38,Influence,2000,0.4792
39,Fisher,2000,0.4686
40,retrain,4000,0.4851
41,MUter,4000,0.4859
42,Newton_delta,4000,0.4543
43,Influence_delta,4000,0.4573
44,Fisher_delta,4000,0.4548
45,Newton,4000,0.4701
46,Influence,4000,0.4727
47,Fisher,4000,0.4324
48,retrain,1,0.487
49,MUter,1,0.4864
50,Newton_delta,1,0.4865
51,Influence_delta,1,0.4881
52,Fisher_delta,1,0.4862
53,Newton,1,0.4869
54,Influence,1,0.4865
55,Fisher,1,0.4862
56,retrain,200,0.4816
57,MUter,200,0.484
58,Newton_delta,200,0.4835
59,Influence_delta,200,0.4831
60,Fisher_delta,200,0.4824
61,Newton,200,0.4831
62,Influence,200,0.4828
63,Fisher,200,0.4839
64,retrain,500,0.4865
65,MUter,500,0.485
66,Newton_delta,500,0.4839
67,Influence_delta,500,0.4837
68,Fisher_delta,500,0.4842
69,Newton,500,0.4866
70,Influence,500,0.4855
71,Fisher,500,0.486
72,retrain,1000,0.4862
73,MUter,1000,0.4887
74,Newton_delta,1000,0.4838
75,Influence_delta,1000,0.4831
76,Fisher_delta,1000,0.4844
77,Newton,1000,0.4869
78,Influence,1000,0.4871
79,Fisher,1000,0.4845
80,retrain,2000,0.4867
81,MUter,2000,0.4861
82,Newton_delta,2000,0.4766
83,Influence_delta,2000,0.4768
84,Fisher_delta,2000,0.4783
85,Newton,2000,0.4811
86,Influence,2000,0.483
87,Fisher,2000,0.4813
88,retrain,4000,0.4854
89,MUter,4000,0.4843
90,Newton_delta,4000,0.4635
91,Influence_delta,4000,0.4656
92,Fisher_delta,4000,0.4639
93,Newton,4000,0.4783
94,Influence,4000,0.4784
95,Fisher,4000,0.4673
96,retrain,1,0.486
97,MUter,1,0.4858
98,Newton_delta,1,0.4869
99,Influence_delta,1,0.4857
100,Fisher_delta,1,0.4868
101,Newton,1,0.4865
102,Influence,1,0.4869
103,Fisher,1,0.4868
104,retrain,200,0.4822
105,MUter,200,0.4848
106,Newton_delta,200,0.4827
107,Influence_delta,200,0.4827
108,Fisher_delta,200,0.4833
109,Newton,200,0.484
110,Influence,200,0.4841
111,Fisher,200,0.4839
112,retrain,500,0.4862
113,MUter,500,0.4871
114,Newton_delta,500,0.4861
115,Influence_delta,500,0.486
116,Fisher_delta,500,0.4861
117,Newton,500,0.4875
118,Influence,500,0.488
119,Fisher,500,0.4863
120,retrain,1000,0.4831
121,MUter,1000,0.4827
122,Newton_delta,1000,0.4796
123,Influence_delta,1000,0.4794
124,Fisher_delta,1000,0.4807
125,Newton,1000,0.4843
126,Influence,1000,0.4836
127,Fisher,1000,0.4811
128,retrain,2000,0.4843
129,MUter,2000,0.4849
130,Newton_delta,2000,0.4746
131,Influence_delta,2000,0.4735
132,Fisher_delta,2000,0.4747
133,Newton,2000,0.4824
134,Influence,2000,0.4823
135,Fisher,2000,0.4775
136,retrain,4000,0.4847
137,MUter,4000,0.4846
138,Newton_delta,4000,0.4641
139,Influence_delta,4000,0.466
140,Fisher_delta,4000,0.4651
141,Newton,4000,0.4789
142,Influence,4000,0.4785
143,Fisher,4000,0.4628
