,method,index,value
0,retrain,1,0.6156
1,MUter,1,0.6143
2,Newton_delta,1,0.6133
3,Influence_delta,1,0.6148
4,Fisher_delta,1,0.6149
5,Newton,1,0.6136
6,Influence,1,0.6136
7,Fisher,1,0.6132
8,retrain,200,0.6093
9,MUter,200,0.6136
10,Newton_delta,200,0.6102
11,Influence_delta,200,0.612
12,Fisher_delta,200,0.6095
13,Newton,200,0.6107
14,Influence,200,0.6111
15,Fisher,200,0.6103
16,retrain,500,0.6151
17,MUter,500,0.6151
18,Newton_delta,500,0.6125
19,Influence_delta,500,0.6123
20,Fisher_delta,500,0.6148
21,Newton,500,0.6143
22,Influence,500,0.6152
23,Fisher,500,0.614
24,retrain,1000,0.6125
25,MUter,1000,0.6136
26,Newton_delta,1000,0.611
27,Influence_delta,1000,0.6121
28,Fisher_delta,1000,0.6105
29,Newton,1000,0.6097
30,Influence,1000,0.6116
31,Fisher,1000,0.6113
32,retrain,2000,0.6112
33,MUter,2000,0.6127
34,Newton_delta,2000,0.6068
35,Influence_delta,2000,0.606
36,Fisher_delta,2000,0.6049
37,Newton,2000,0.6081
38,Influence,2000,0.6091
39,Fisher,2000,0.6045
40,retrain,4000,0.614
41,MUter,4000,0.6132
42,Newton_delta,4000,0.597
43,Influence_delta,4000,0.5992
44,Fisher_delta,4000,0.595
45,Newton,4000,0.601
46,Influence,4000,0.603
47,Fisher,4000,0.5911
48,retrain,1,0.6128
49,MUter,1,0.6126
50,Newton_delta,1,0.6134
51,Influence_delta,1,0.6119
52,Fisher_delta,1,0.6128
53,Newton,1,0.6134
54,Influence,1,0.6129
55,Fisher,1,0.61
56,retrain,200,0.6133
57,MUter,200,0.6153
58,Newton_delta,200,0.6133
59,Influence_delta,200,0.6135
60,Fisher_delta,200,0.6131
61,Newton,200,0.6144
62,Influence,200,0.6139
63,Fisher,200,0.6138
64,retrain,500,0.618
65,MUter,500,0.6185
66,Newton_delta,500,0.6157
67,Influence_delta,500,0.6168
68,Fisher_delta,500,0.6161
69,Newton,500,0.617
70,Influence,500,0.6167
71,Fisher,500,0.615
72,retrain,1000,0.6123
73,MUter,1000,0.612
74,Newton_delta,1000,0.6079
75,Influence_delta,1000,0.6091
76,Fisher_delta,1000,0.6098
77,Newton,1000,0.6102
78,Influence,1000,0.6094
79,Fisher,1000,0.6081
80,retrain,2000,0.6142
81,MUter,2000,0.6141
82,Newton_delta,2000,0.6054
83,Influence_delta,2000,0.6053
84,Fisher_delta,2000,0.6053
85,Newton,2000,0.6092
86,Influence,2000,0.6098
87,Fisher,2000,0.6059
88,retrain,4000,0.6155
89,MUter,4000,0.6159
90,Newton_delta,4000,0.6004
91,Influence_delta,4000,0.6015
92,Fisher_delta,4000,0.5983
93,Newton,4000,0.6069
94,Influence,4000,0.6076
95,Fisher,4000,0.5923
96,retrain,1,0.6147
97,MUter,1,0.6155
98,Newton_delta,1,0.6158
99,Influence_delta,1,0.6155
100,Fisher_delta,1,0.6149
101,Newton,1,0.6152
102,Influence,1,0.6158
103,Fisher,1,0.6152
104,retrain,200,0.6095
105,MUter,200,0.6122
106,Newton_delta,200,0.6131
107,Influence_delta,200,0.612
108,Fisher_delta,200,0.6121
109,Newton,200,0.612
110,Influence,200,0.6125
111,Fisher,200,0.6116
112,retrain,500,0.6119
113,MUter,500,0.6116
114,Newton_delta,500,0.6092
115,Influence_delta,500,0.6096
116,Fisher_delta,500,0.6122
117,Newton,500,0.6115
118,Influence,500,0.6106
119,Fisher,500,0.6111
120,retrain,1000,0.6143
121,MUter,1000,0.6154
122,Newton_delta,1000,0.6117
123,Influence_delta,1000,0.6106
124,Fisher_delta,1000,0.6121
125,Newton,1000,0.613
126,Influence,1000,0.6136
127,Fisher,1000,0.6103
128,retrain,2000,0.6126
129,MUter,2000,0.6131
130,Newton_delta,2000,0.6033
131,Influence_delta,2000,0.6031
132,Fisher_delta,2000,0.6047
133,Newton,2000,0.606
134,Influence,2000,0.6092
135,Fisher,2000,0.6044
136,retrain,4000,0.6135
137,MUter,4000,0.613
138,Newton_delta,4000,0.6003
139,Influence_delta,4000,0.6009
140,Fisher_delta,4000,0.5986
141,Newton,4000,0.6074
142,Influence,4000,0.6057
143,Fisher,4000,0.597
