,method,index,value
0,MUter,2500,0.032613955
1,Newton_delta,2500,0.3706352
2,Influence_delta,2500,0.35284054
3,Fisher_delta,2500,0.470629
4,Newton,2500,0.3166685
5,Influence,2500,0.29037544
6,Fisher,2500,0.55382866
7,MUter,5000,0.15132327
8,Newton_delta,5000,0.5979784
9,Influence_delta,5000,0.5557997
10,Fisher_delta,5000,0.7624709
11,Newton,5000,0.49607486
12,Influence,5000,0.45674017
13,Fisher,5000,0.9081172
14,MUter,7500,0.2941654
15,Newton_delta,7500,0.8456487
16,Influence_delta,7500,0.7843793
17,Fisher_delta,7500,1.0761143
18,Newton,7500,0.72723776
19,Influence,7500,0.67277455
20,Fisher,7500,1.3275585
21,MUter,10000,0.30678144
22,Newton_delta,10000,1.1093864
23,Influence_delta,10000,1.0220468
24,Fisher_delta,10000,1.4078083
25,Newton,10000,0.9017449
26,Influence,10000,0.8400428
27,Fisher,10000,1.8233446
28,MUter,2500,0.02972117
29,Newton_delta,2500,0.38996473
30,Influence_delta,2500,0.35967377
31,Fisher_delta,2500,0.4734363
32,Newton,2500,0.31952628
33,Influence,2500,0.2855688
34,Fisher,2500,0.56984663
35,MUter,5000,0.16270229
36,Newton_delta,5000,0.6114877
37,Influence_delta,5000,0.5690138
38,Fisher_delta,5000,0.79796416
39,Newton,5000,0.49988654
40,Influence,5000,0.45872483
41,Fisher,5000,0.9188923
42,MUter,7500,0.22413176
43,Newton_delta,7500,0.8487998
44,Influence_delta,7500,0.78688765
45,Fisher_delta,7500,1.0631697
46,Newton,7500,0.6941701
47,Influence,7500,0.6384349
48,Fisher,7500,1.3077905
49,MUter,10000,0.9248086
50,Newton_delta,10000,1.113618
51,Influence_delta,10000,1.0355543
52,Fisher_delta,10000,1.4475992
53,Newton,10000,0.88147485
54,Influence,10000,0.8102361
55,Fisher,10000,1.7674676
56,MUter,2500,0.030228645
57,Newton_delta,2500,0.38888505
58,Influence_delta,2500,0.37057492
59,Fisher_delta,2500,0.49661124
60,Newton,2500,0.3366612
61,Influence,2500,0.30441192
62,Fisher,2500,0.57455087
63,MUter,5000,0.15594071
64,Newton_delta,5000,0.6126137
65,Influence_delta,5000,0.57069355
66,Fisher_delta,5000,0.79130304
67,Newton,5000,0.49378535
68,Influence,5000,0.461226
69,Fisher,5000,0.91868
70,MUter,7500,0.5202597
71,Newton_delta,7500,0.88226545
72,Influence_delta,7500,0.83335215
73,Fisher_delta,7500,1.0738404
74,Newton,7500,0.669992
75,Influence,7500,0.6062363
76,Fisher,7500,1.2897539
77,MUter,10000,0.8236308
78,Newton_delta,10000,1.1034832
79,Influence_delta,10000,1.0265796
80,Fisher_delta,10000,1.4136004
81,Newton,10000,0.8449464
82,Influence,10000,0.77940094
83,Fisher,10000,1.784198
