,method,index,value
0,retrain,1,0.8493
1,MUter,1,0.8496
2,Newton_delta,1,0.8495
3,Influence_delta,1,0.8495
4,Fisher_delta,1,0.8495
5,Newton,1,0.8496
6,Influence,1,0.8496
7,Fisher,1,0.8497
8,retrain,200,0.8476
9,MUter,200,0.8478
10,Newton_delta,200,0.8463
11,Influence_delta,200,0.8463
12,Fisher_delta,200,0.8464
13,Newton,200,0.8466
14,Influence,200,0.8466
15,Fisher,200,0.8456
16,retrain,500,0.8504
17,MUter,500,0.8505
18,Newton_delta,500,0.8485
19,Influence_delta,500,0.8485
20,Fisher_delta,500,0.8488
21,Newton,500,0.8489
22,Influence,500,0.8488
23,Fisher,500,0.8476
24,retrain,1000,0.85
25,MUter,1000,0.8502
26,Newton_delta,1000,0.8471
27,Influence_delta,1000,0.8471
28,Fisher_delta,1000,0.846
29,Newton,1000,0.8471
30,Influence,1000,0.8472
31,Fisher,1000,0.8461
32,retrain,2000,0.8487
33,MUter,2000,0.8486
34,Newton_delta,2000,0.8439
35,Influence_delta,2000,0.8439
36,Fisher_delta,2000,0.8426
37,Newton,2000,0.8435
38,Influence,2000,0.8433
39,Fisher,2000,0.8412
40,retrain,4000,0.8485
41,MUter,4000,0.8486
42,Newton_delta,4000,0.8369
43,Influence_delta,4000,0.8377
44,Fisher_delta,4000,0.8362
45,Newton,4000,0.8356
46,Influence,4000,0.8361
47,Fisher,4000,0.8295
48,retrain,1,0.8493
49,MUter,1,0.8488
50,Newton_delta,1,0.8488
51,Influence_delta,1,0.8488
52,Fisher_delta,1,0.8488
53,Newton,1,0.8488
54,Influence,1,0.8488
55,Fisher,1,0.8488
56,retrain,200,0.8487
57,MUter,200,0.8482
58,Newton_delta,200,0.8482
59,Influence_delta,200,0.8483
60,Fisher_delta,200,0.848
61,Newton,200,0.8483
62,Influence,200,0.8483
63,Fisher,200,0.8474
64,retrain,500,0.8484
65,MUter,500,0.8491
66,Newton_delta,500,0.8475
67,Influence_delta,500,0.8478
68,Fisher_delta,500,0.847
69,Newton,500,0.8481
70,Influence,500,0.848
71,Fisher,500,0.8482
72,retrain,1000,0.8471
73,MUter,1000,0.8458
74,Newton_delta,1000,0.8466
75,Influence_delta,1000,0.8464
76,Fisher_delta,1000,0.8462
77,Newton,1000,0.8458
78,Influence,1000,0.8459
79,Fisher,1000,0.8465
80,retrain,2000,0.8504
81,MUter,2000,0.8503
82,Newton_delta,2000,0.8463
83,Influence_delta,2000,0.8466
84,Fisher_delta,2000,0.8452
85,Newton,2000,0.8459
86,Influence,2000,0.846
87,Fisher,2000,0.8447
88,retrain,4000,0.8486
89,MUter,4000,0.8497
90,Newton_delta,4000,0.838
91,Influence_delta,4000,0.839
92,Fisher_delta,4000,0.836
93,Newton,4000,0.8351
94,Influence,4000,0.8359
95,Fisher,4000,0.8263
96,retrain,1,0.8496
97,MUter,1,0.8498
98,Newton_delta,1,0.8497
99,Influence_delta,1,0.8497
100,Fisher_delta,1,0.8497
101,Newton,1,0.8497
102,Influence,1,0.8497
103,Fisher,1,0.8496
104,retrain,200,0.8447
105,MUter,200,0.8458
106,Newton_delta,200,0.8455
107,Influence_delta,200,0.8454
108,Fisher_delta,200,0.8454
109,Newton,200,0.8454
110,Influence,200,0.8453
111,Fisher,200,0.8453
112,retrain,500,0.8501
113,MUter,500,0.8504
114,Newton_delta,500,0.8496
115,Influence_delta,500,0.8498
116,Fisher_delta,500,0.8491
117,Newton,500,0.8495
118,Influence,500,0.8498
119,Fisher,500,0.849
120,retrain,1000,0.8505
121,MUter,1000,0.8499
122,Newton_delta,1000,0.8488
123,Influence_delta,1000,0.8485
124,Fisher_delta,1000,0.849
125,Newton,1000,0.8486
126,Influence,1000,0.8484
127,Fisher,1000,0.8462
128,retrain,2000,0.8487
129,MUter,2000,0.8486
130,Newton_delta,2000,0.8456
131,Influence_delta,2000,0.8454
132,Fisher_delta,2000,0.8453
133,Newton,2000,0.8446
134,Influence,2000,0.8445
135,Fisher,2000,0.8411
136,retrain,4000,0.85
137,MUter,4000,0.8498
138,Newton_delta,4000,0.8403
139,Influence_delta,4000,0.8407
140,Fisher_delta,4000,0.8386
141,Newton,4000,0.8379
142,Influence,4000,0.8391
143,Fisher,4000,0.8325
