,method,index,value
0,MUter,1,9.337909e-05
1,Newton_delta,1,0.014952302
2,Influence_delta,1,0.014791361
3,Fisher_delta,1,0.01798741
4,Newton,1,0.013134291
5,Influence,1,0.012706597
6,Fisher,1,0.02690988
7,MUter,200,0.00782691
8,Newton_delta,200,0.20255283
9,Influence_delta,200,0.19675085
10,Fisher_delta,200,0.24325947
11,Newton,200,0.16091716
12,Influence,200,0.1549053
13,Fisher,200,0.33228767
14,MUter,500,0.008759534
15,Newton_delta,500,0.3130107
16,Influence_delta,500,0.30714324
17,Fisher_delta,500,0.38499463
18,Newton,500,0.24228425
19,Influence,500,0.23923914
20,Fisher,500,0.50277734
21,MUter,1000,0.015311228
22,Newton_delta,1000,0.46102312
23,Influence_delta,1000,0.44707394
24,Fisher_delta,1000,0.5569181
25,Newton,1000,0.36393756
26,Influence,1000,0.3523722
27,Fisher,1000,0.7596921
28,MUter,2000,0.06721774
29,Newton_delta,2000,0.68464863
30,Influence_delta,2000,0.66143125
31,Fisher_delta,2000,0.81457394
32,Newton,2000,0.5342458
33,Influence,2000,0.512355
34,Fisher,2000,1.1138197
35,MUter,4000,0.09678449
36,Newton_delta,4000,1.1151855
37,Influence_delta,4000,1.0491419
38,Fisher_delta,4000,1.2819741
39,Newton,4000,0.8322772
40,Influence,4000,0.7706951
41,Fisher,4000,1.7559972
42,MUter,1,7.221082e-05
43,Newton_delta,1,0.0017752138
44,Influence_delta,1,0.0016777316
45,Fisher_delta,1,0.0021015264
46,Newton,1,0.00036560165
47,Influence,1,0.0003681677
48,Fisher,1,0.00078864885
49,MUter,200,0.0042331214
50,Newton_delta,200,0.10288696
51,Influence_delta,200,0.10019355
52,Fisher_delta,200,0.11653606
53,Newton,200,0.07660557
54,Influence,200,0.07497085
55,Fisher,200,0.1312669
56,MUter,500,0.007992853
57,Newton_delta,500,0.16087064
58,Influence_delta,500,0.15859652
59,Fisher_delta,500,0.18108472
60,Newton,500,0.11756382
61,Influence,500,0.114451535
62,Fisher,500,0.19840272
63,MUter,1000,0.018867865
64,Newton_delta,1000,0.23838958
65,Influence_delta,1000,0.23496121
66,Fisher_delta,1000,0.26121202
67,Newton,1000,0.16827637
68,Influence,1000,0.16406639
69,Fisher,1000,0.27623972
70,MUter,2000,0.052543037
71,Newton_delta,2000,0.37210715
72,Influence_delta,2000,0.3631967
73,Fisher_delta,2000,0.40252668
74,Newton,2000,0.2496462
75,Influence,2000,0.24111754
76,Fisher,2000,0.43352428
77,MUter,4000,0.03286655
78,Newton_delta,4000,0.6259623
79,Influence_delta,4000,0.5869157
80,Fisher_delta,4000,0.64381254
81,Newton,4000,0.41052288
82,Influence,4000,0.38309216
83,Fisher,4000,0.7006671
84,MUter,1,0.00035295772
85,Newton_delta,1,0.005170507
86,Influence_delta,1,0.0050320085
87,Fisher_delta,1,0.005420517
88,Newton,1,0.0029693537
89,Influence,1,0.0030876093
90,Fisher,1,0.0049363263
91,MUter,200,0.0029475675
92,Newton_delta,200,0.096027344
93,Influence_delta,200,0.09417591
94,Fisher_delta,200,0.10825688
95,Newton,200,0.0738635
96,Influence,200,0.0720494
97,Fisher,200,0.12725045
98,MUter,500,0.008495371
99,Newton_delta,500,0.16347758
100,Influence_delta,500,0.15959843
101,Fisher_delta,500,0.18011484
102,Newton,500,0.12077497
103,Influence,500,0.11679099
104,Fisher,500,0.2082809
105,MUter,1000,0.019064922
106,Newton_delta,1000,0.24586546
107,Influence_delta,1000,0.24468072
108,Fisher_delta,1000,0.26571727
109,Newton,1000,0.18023376
110,Influence,1000,0.1763805
111,Fisher,1000,0.3130854
112,MUter,2000,0.033961885
113,Newton_delta,2000,0.37022853
114,Influence_delta,2000,0.3590928
115,Fisher_delta,2000,0.39288077
116,Newton,2000,0.24781832
117,Influence,2000,0.24085392
118,Fisher,2000,0.44933853
119,MUter,4000,0.052085195
120,Newton_delta,4000,0.594403
121,Influence_delta,4000,0.56826705
122,Fisher_delta,4000,0.6264776
123,Newton,4000,0.39518088
124,Influence,4000,0.37448937
125,Fisher,4000,0.6760093
